date,subways_total_estimated_ridership,subways_of_comparable_pre_pandemic_day,buses_total_estimated_ridersip,buses_of_comparable_pre_pandemic_day,lirr_total_estimated_ridership,lirr_of_comparable_pre_pandemic_day,metro_north_total_estimated_ridership,metro_north_of_comparable_pre_pandemic_day,access_a_ride_total_scheduled_trips,access_a_ride_of_comparable_pre_pandemic_day,bridges_and_tunnels_total_traffic,bridges_and_tunnels_of_comparable_pre_pandemic_day,staten_island_railway_total_estimated_ridership,staten_island_railway_of_comparable_pre_pandemic_day
2023-03-30T00:00:00.000,3860289,0.69,1486845,0.66,200601,0.64,187344,0.68,29363,0.99,957635,1.04,7512,0.47
2023-03-31T00:00:00.000,3573735,0.64,1423686,0.64,184342,0.59,158879,0.58,28599,0.96,977962,1.06,6426,0.40
2023-04-01T00:00:00.000,2283533,0.72,842213,0.63,82140,0.72,88096,0.59,16428,0.98,856286,0.94,1520,0.30
2023-04-02T00:00:00.000,1949665,0.80,716880,0.72,76059,0.83,79027,0.77,17660,0.95,855422,0.99,1319,0.40
2023-04-03T00:00:00.000,3597785,0.65,1475017,0.67,182947,0.59,162370,0.57,27387,0.95,899177,0.96,7076,0.44
2023-04-04T00:00:00.000,3906882,0.70,1519740,0.70,200063,0.64,188769,0.66,29698,1.03,913561,0.97,7633,0.47
2023-04-05T00:00:00.000,3799965,0.68,1432322,0.66,205060,0.66,185283,0.65,29462,1.02,938533,1.00,7163,0.44
2023-04-06T00:00:00.000,3421271,0.61,1264311,0.58,193340,0.62,169192,0.59,27061,0.94,914933,0.97,6122,0.38
2023-04-07T00:00:00.000,3130675,0.56,1150222,0.53,187800,0.60,159262,0.56,23831,0.82,900772,0.96,4925,0.30
2023-04-08T00:00:00.000,2393347,0.76,882727,0.66,108740,0.95,99273,0.67,16256,0.97,872566,0.96,2393,0.47
2023-04-09T00:00:00.000,1855826,0.76,654259,0.66,98030,1.07,85620,0.83,19026,1.02,904505,1.04,1916,0.59
2023-04-10T00:00:00.000,3142740,0.56,1236634,0.57,191412,0.62,170713,0.60,24135,0.83,922582,0.98,6121,0.38
2023-04-11T00:00:00.000,3537843,0.63,1316710,0.60,210828,0.68,193831,0.68,27777,0.96,895251,0.95,7081,0.44
2023-04-12T00:00:00.000,3576687,0.64,1311418,0.60,207802,0.67,191574,0.67,28326,0.98,890891,0.95,6863,0.42
